No.Arrival/ Arrival time/ Service Begin/ Service completion
*observation time range  
From 11:45:00
To 13:30:00
Observer: Andy Yang
1 11:46:23 11:46:59 11:59:02
2 11:51:01 11:51:48 11:58:56
3 11:51:22 11:54:03 11:58:21
4 11:56:33 11:57:12 12:02:13
5 11:57:54 11:59:05 12:03:34
6 12:05:11 12:05:22 12:09:32
7 12:08:12 12:10:10 12:13:00
8 12:10:03 12:12:45 12:16:36
9 12:13:43 12:13:53 12:18:01
10 12:13:54 12:15:51 12:22:00
11 12:18:25 12:18:29 12:22:54
12 12:21:00 12:21:45 12:23:01
13 12:24:04 12:25:05 12:30:09
14 12:28:14 12:28:33 12:34:12
15 12:28:33 12:32:54 12:38:49
16 12:28:49 12:34:03 12:38:48
17 12:29:10 12:29:20 12:34:55
18 12:41:32 12:41:39 12:43:51
19 12:45:12 12:47:05 12:55:01
20 12:45:39 12:45:55 12:49:30
21 12:47:00 12:49:06 12:57:22
22 12:48:11 12:49:00 12:54:12
23 12:53:02 12:54:16 12:55:50
24 12:59:13 13:04:34 13:08:22
25 13:01:44 13:01:58 13:04:54
