No.Arrival/ Arrival time/ Service Begin/ Service completion
*observation time range  
From 11:30:00
To 13:25:00
Observer: Andy Yang
1 11:33:23 11:33:59 11:59:02
2 11:53:01 11:53:48 11:55:56
3 11:54:22 11:54:49 11:58:21
4 11:56:33 11:57:12 12:02:13
5 12:03:54 12:04:05 12:08:34
6 12:06:11 12:07:46 12:09:32
7 12:08:12 12:09:10 12:13:00
8 12:08:29 12:12:45 12:16:36
9 12:12:43 12:13:53 12:18:01
10 12:17:54 12:18:51 12:22:00
11 12:18:25 12:18:30 12:22:54
12 12:21:00 12:21:45 12:24:01
13 12:24:04 12:25:05 12:29:09
14 12:27:14 12:28:33 12:32:12
15 12:28:33 12:29:00 12:33:49
16 12:28:49 12:34:03 12:38:48
17 12:29:10 12:29:50 12:33:55
18 12:41:32 12:41:50 12:43:51
19 12:45:12 12:47:05 12:49:01
20 12:46:39 12:45:55 12:49:30
21 12:47:00 12:47:10 12:51:22
22 12:47:11 12:48:00 12:51:12
23 12:53:02 12:54:16 12:59:10
24 13:06:13 13:06:19 13:09:22
25 13:13:44 13:14:00 13:16:01
