No.Arrival/ Arrival time/ Service Begin/ Service completion
*observation time range  
From 12:40:00
To 14:00:00
Observer: Andy Yang
1 12:43:12 12:44:00 12:46:20
2 12:47:01 12:47:10 12:48:53
3 12:54:13 12:55:52 12:59:15
4 12:55:12 12:57:09 13:03:52
5 13:10:33 13:10:43 13:14:30
6 13:22:14 13:23:04 13:26:54
7 13:28:10 13:30:00 13:31:01
8 13:46:15 13:46:23 13:52:19
9 13:46:47 13:47:03 13:55:10
